Frame,Type,X,Y,Health,MovementPattern,AttackPattern,PowerUpDrop
50,Alien2,150,0,15,SineWave,SpreadShot,
100,Alien2,450,0,15,SineWave,SpreadShot,
150,PowerUp-SpeedUp,300,0,1,Straight,None,
200,Alien1,200,0,10,DiveBomb,SingleShot,
250,Alien1,400,0,10,DiveBomb,SingleShot,
300,Alien2,300,0,15,Straight,SpreadShot,
350,PowerUp-MultiShot,250,0,1,Straight,None,
400,Alien1,100,0,10,SineWave,SingleShot,
450,Alien1,500,0,10,SineWave,SingleShot,
500,Alien2,250,0,15,DiveBomb,SpreadShot,
550,Alien2,350,0,15,DiveBomb,SpreadShot,
600,PowerUp-SpeedUp,400,0,1,Straight,None,
650,Alien1,150,0,10,Straight,SingleShot,
700,Alien1,450,0,10,Straight,SingleShot,
750,Alien2,300,0,15,SineWave,SpreadShot,
800,PowerUp-MultiShot,200,0,1,Straight,None,
850,Alien1,250,0,10,DiveBomb,SingleShot,
900,Alien1,350,0,10,DiveBomb,SingleShot,
950,Alien2,200,0,15,Straight,SpreadShot,
1000,Alien2,400,0,15,Straight,SpreadShot,
1050,PowerUp-SpeedUp,300,0,1,Straight,None,
1100,Alien1,100,0,10,SineWave,SingleShot,
1150,Alien1,500,0,10,SineWave,SingleShot,
1200,Alien2,250,0,15,DiveBomb,SpreadShot,
1250,Alien2,350,0,15,DiveBomb,SpreadShot,
1300,PowerUp-MultiShot,450,0,1,Straight,None,
1350,Alien1,150,0,10,Straight,SingleShot,
1400,Alien1,300,0,10,Straight,SingleShot,
1450,Alien1,450,0,10,Straight,SingleShot,
1500,Alien2,200,0,15,SineWave,SpreadShot,
1550,Alien2,400,0,15,SineWave,SpreadShot,
1600,PowerUp-SpeedUp,350,0,1,Straight,None,
1650,Alien1,250,0,10,DiveBomb,SingleShot,
1700,Alien1,350,0,10,DiveBomb,SingleShot,
1750,Alien2,300,0,15,Straight,SpreadShot,
1800,PowerUp-MultiShot,200,0,1,Straight,None,
1850,Alien1,100,0,10,SineWave,SingleShot,
1900,Alien1,500,0,10,SineWave,SingleShot,
1950,Alien2,250,0,15,DiveBomb,SpreadShot,
2000,Alien2,350,0,15,DiveBomb,SpreadShot,
2050,PowerUp-SpeedUp,400,0,1,Straight,None,
2100,Alien1,150,0,10,Straight,SingleShot,
2150,Alien1,450,0,10,Straight,SingleShot,
2200,Alien2,300,0,15,SineWave,SpreadShot,
2250,PowerUp-MultiShot,250,0,1,Straight,None,
2300,Alien1,200,0,10,DiveBomb,SingleShot,
2350,Alien1,400,0,10,DiveBomb,SingleShot,
2400,Alien2,150,0,15,Straight,SpreadShot,
2450,Alien2,450,0,15,Straight,SpreadShot,
2500,PowerUp-SpeedUp,300,0,1,Straight,None,
2550,Alien1,250,0,10,SineWave,SingleShot,
2600,Alien1,350,0,10,SineWave,SingleShot,
2650,Alien2,200,0,15,DiveBomb,SpreadShot,
2700,Alien2,400,0,15,DiveBomb,SpreadShot,
2750,PowerUp-MultiShot,350,0,1,Straight,None,
2800,Alien1,100,0,10,Straight,SingleShot,
2850,Alien1,500,0,10,Straight,SingleShot,
2900,Alien2,300,0,15,SineWave,SpreadShot,
2950,PowerUp-SpeedUp,250,0,1,Straight,None,
3000,Boss,300,50,100,BossPattern,BossAttack,

